WEEK,8038146,8038184,8038288,Grand_Total
1114,8832.9,4411.68,,13244.58
1115,13810.15,4883.62,,18693.77
1116,20388.38,7881.69,,28270.07
1117,9069.14,3614.96,,12684.1
1118,13779.13,2773.04,,16552.17
1119,20059.71,6462.29,,26522
1120,18611.68,11018.22,,29629.9
1121,24766.93,11360.14,,36127.07
1122,25915.07,9954.57,,35869.64
1123,45807.85,16847.58,,62655.43
1124,57227.54,10544.8,,67772.34
1125,47186.18,20268.95,,67455.13
1126,70034.17,11995.5,,82029.67
1127,32719.7,15594.2,,48313.9
1128,113012.45,19636.66,,132649.11
1129,12934.36,3852.67,,16787.03
1130,40180.54,13058.98,,53239.52
1131,52181.69,16873.09,,69054.78
1132,41043.09,10432.92,,51476.01
1133,68884.17,13866.46,,82750.63
1134,47369.74,15846.82,,63216.56
1135,59663.25,13592.19,,73255.44
1136,18709.28,17763.09,,36472.37
1137,82792.93,22970.68,271489.02,377252.63
1138,52832.14,5428.82,200817.4,259078.36
1139,34530.13,13649.93,91066.16,139246.22
1140,47548.91,23877.18,197881.97,269308.06
1141,42009.81,13021.72,208183.77,263215.3
1142,31478.62,8848.13,232131.38,272458.13
1143,34315.93,11264.78,137993.36,183574.07
1144,39180.41,8192.15,172591.67,219964.23
1145,29098.98,19589.38,90340.2,139028.56
1146,42625.31,18246.27,106673.56,167545.14
1147,37878.94,14369.45,116586.39,168834.78
1148,31260.52,12122.36,98521.43,141904.31
1149,53592.52,15002.87,137832.7,206428.09
1150,34348.7,9912.98,104801.36,149063.04
1151,38996.91,16681.77,92311.95,147990.63
1152,52933.96,6820.42,47815.98,107570.36
1153,31019.76,18953.15,69599.19,119572.1
1154,22848.42,5363.18,61942.45,90154.05
1155,37908.03,15882.2,122912.73,176702.96
1156,29655.7,11670.54,92476.16,133802.4
1157,51106.54,16106.09,87569.25,154781.88
1158,15296.16,8269.1,89521.02,113086.28
1159,60750.73,15114.29,61107.45,136972.47
1160,36261.6,15661.87,123602.18,175525.65
1161,27071.03,9426.88,31729.71,68227.62
1162,25321.16,14068.77,150900.84,190290.77
1163,20482.15,10597.69,67396.88,98476.72
1164,32169.75,21448.85,117386.79,171005.39
1165,38546.58,11137.79,79120.4,128804.77
