WEEK,650111,8038146,8038184,8038288,Grand_Total
1270,,40143.75,4212.47,21411.55,65767.77
1271,,23548.01,4075.47,8388.09,36011.57
1272,,37463.81,6259.18,12202.56,55925.55
1273,,25920.73,9373.34,18344.52,53638.59
1274,,29409.67,3553.78,9714.91,42678.36
1275,,21010.85,3768.53,15282.47,40061.85
1276,,31742.09,7167.34,14903.53,53812.96
1277,,56734.37,8837.65,18767.73,84339.75
1278,,27184.62,4583.65,26910.83,58679.1
1279,,32991.78,5830.47,19753.44,58575.69
1280,,20639.57,8197.78,17468.67,46306.02
1281,,77439.36,11228.94,9711.55,98379.85
1282,,32421.1,4137.61,10958.83,47517.54
1283,,38377.76,6070.18,10564.56,55012.5
1284,,28620.01,4265.6,10154.7,43040.31
1285,,14675.49,2092.84,5695.91,22464.24
1286,,27408.63,,13674.07,41082.7
1287,,22514.52,,5040.18,27554.7
1288,,27488.19,,23057.14,50545.33
1289,,28637.03,,11843.59,40480.62
1290,,33328.64,,10416.22,43744.86
1291,,39543.17,,6300.64,45843.81
1292,,18651.48,1933.93,4214.26,24799.67
1293,,25426.89,3247.5,23113.99,51788.38
1294,,33215.88,6738.55,7540.49,47494.92
1295,,12617.26,4405.97,7391.28,24414.51
1296,,30092.71,2675.83,9104.05,41872.59
1297,,20911.55,1672,11330.39,33913.94
1298,,25018.13,6979.64,7288.91,39286.68
1299,,26710.46,7835.19,7920.17,42465.82
1300,,19553.81,10340.83,9009.11,38903.75
1301,,24272.5,7468.63,8315.64,40056.77
1302,,20202.16,5292.05,8755.51,34249.72
1303,,24762.18,8668.73,13889.76,47320.67
1304,,24683.41,7670.97,5532.32,37886.7
1305,,18165.78,2059.78,3705.82,23931.38
1306,,19945.38,2134.79,12211.18,34291.35
1307,,21435.43,1765.57,,23201
1308,109.61,8118.23,2293.62,,10521.46
1309,300.19,84199.36,13773.4,,98272.95
1310,162.44,5506.03,829.64,,6498.11
1311,,15596.87,2293.85,,17890.72
1312,99.34,8365.2,2552.94,,11017.48
1313,218.78,7538.65,1427.24,,9184.67
1314,101.58,5771.46,1595.3,,7468.34
1315,39.93,7920.98,889.62,,8850.53
1316,130.04,11012.15,716.21,,11858.4
1317,47.03,6986.95,2021.32,,9055.3
1318,56.02,7241.54,1298.21,,8595.77
1319,154.15,9833.79,523.21,,10511.15
1320,129.77,10585.4,1114.6,,11829.77
1321,55.74,13450.82,1006.25,,14512.81
