MONTH,Count of TOTAL UNITS,Count of NETWORK TV UNITS,Count of SLN TV UNITS,Count of CABLE TV UNITS,Count of SYNDICATION UNITS,Count of MAGAZINES UNITS,Count of SUNDAY MAGS UNITS,Count of B-TO-B UNITS,Count of NATL NEWSP UNITS,Count of NETWORK RADIO UNITS
Jan-01,9,7,,6,5,3,,2,1,
Feb-01,7,3,,4,2,3,,,,
Mar-01,8,5,,5,3,1,,1,,
Apr-01,8,6,,6,2,2,1,,,
May-01,9,7,,4,3,3,,,1,
Jun-01,5,2,,4,2,1,,,,
Jul-01,7,4,,5,1,1,,,,
Aug-01,7,3,,2,1,4,,,,
Sep-01,5,4,,3,2,1,,,,
Oct-01,4,3,,3,3,2,,,,
Nov-01,5,2,,1,1,2,,1,,
Dec-01,2,2,1,2,1,,,,,
Jan-02,10,6,2,6,4,2,,1,,
Feb-02,10,7,1,9,5,2,,,,
Mar-02,10,8,1,8,5,1,1,,,
Apr-02,14,10,2,11,6,4,,1,1,
May-02,12,7,3,7,3,4,,1,,
Jun-02,11,8,2,8,3,4,,,,
Jul-02,10,9,,8,6,2,,,,
Aug-02,10,7,,9,6,2,,,,
Sep-02,10,8,1,8,2,3,2,,,
Oct-02,8,4,1,4,1,5,1,,,
Nov-02,7,3,,5,1,2,,,,
Dec-02,4,2,,4,1,,,,,
Jan-03,11,4,2,8,4,1,1,1,,
Feb-03,11,6,2,8,3,1,,1,,
Mar-03,8,4,1,7,2,1,,,,
Apr-03,12,6,,10,3,3,1,,,
May-03,18,8,,12,4,7,,,1,
Jun-03,15,7,,10,4,6,,,1,
Jul-03,13,7,,9,3,5,,,,
Aug-03,18,7,,8,3,10,1,,3,
Sep-03,18,6,1,7,1,10,,,2,
Oct-03,14,5,1,7,2,7,,,,
Nov-03,13,4,1,8,1,6,,,,
Dec-03,11,4,1,7,2,3,,1,,
Jan-04,14,9,2,9,3,3,1,,2,
Feb-04,17,9,3,11,3,8,1,,1,
Mar-04,24,13,3,14,3,8,,2,3,
Apr-04,19,10,2,13,3,7,,2,2,
May-04,24,10,1,15,6,7,,1,2,
Jun-04,19,8,2,13,5,8,,2,,
Jul-04,15,7,2,15,2,2,,,,
Aug-04,15,6,2,14,2,3,1,,,
Sep-04,10,4,2,7,,4,,1,,
Oct-04,12,3,2,8,,3,,,1,
Nov-04,7,4,1,5,,2,,,,
Dec-04,11,4,1,9,,3,,,1,
Jan-05,15,6,,10,1,6,,,,
Feb-05,13,6,2,8,1,6,,,,
Mar-05,14,5,2,9,1,6,,,,
Apr-05,14,8,2,10,2,7,,,,
May-05,21,10,2,16,2,10,2,2,1,
Jun-05,22,11,2,15,3,9,,2,,
Jul-05,21,5,2,14,1,10,1,,,
Aug-05,22,7,2,14,2,8,2,,,
Sep-05,18,6,2,12,3,9,,,,
Oct-05,16,6,,8,,7,,,,
Nov-05,11,1,,5,,6,1,,,
Dec-05,12,2,1,8,1,4,,,,
