MONTH,Sum of TOTAL DOLS (000),Sum of NETWORK TV DOLS (000),Sum of SLN TV DOLS (000),Sum of CABLE TV DOLS (000),Sum of SYNDICATION DOLS (000),Sum of MAGAZINES DOLS (000),Sum of SUNDAY MAGS DOLS (000),Sum of B-TO-B DOLS (000),Sum of NATL NEWSP DOLS (000),Sum of NETWORK RADIO DOLS (000)
Jan-01,43876.4,23202.5,413.4,8157.2,6074.3,5117.1,,435.7,171.6,304.9
Feb-01,26858.3,6892.6,164.7,7389.8,3003.2,8108.5,1040.4,259.3,,
Mar-01,34075.7,13391.2,377.7,10178.1,2828,6686,247.4,288.5,78.8,
Apr-01,26590.2,7799.2,218,4793.8,4097.5,8483.2,561.9,272,78.8,286
May-01,25869.4,8939.8,28.9,5931.1,2418.2,7702.1,250.7,323.2,201.1,74.2
Jun-01,19287.9,5678.6,4.6,6613.9,2401.7,3986.9,343.3,183.1,,75.6
Jul-01,20710.2,6950.2,240.4,6273.8,3637.6,2794.1,56.9,177.7,,579.7
Aug-01,21290.5,4189,243.8,7876.3,2000.9,6059,,182,,739.4
Sep-01,26017,8828,315.2,4708.8,3688.7,6533.1,256.2,343.6,,1343.6
Oct-01,24837.7,8275.1,465.4,4107,2472.2,7961.3,625,703.1,,228.9
Nov-01,16928.7,5156.3,405.2,5015.2,621,4811.4,,677.8,,242.1
Dec-01,14452.4,3848.4,278.5,4196.7,426.8,4995.8,199.3,257.4,,249.5
Jan-02,40410.2,20813.8,1184.7,9082.4,3839.4,4877.8,,330.8,132.4,148.9
Feb-02,31489.2,10528.5,1406.6,8579.1,2042.3,8386.1,,272.4,,274.4
Mar-02,31009.2,12150.2,750.7,10005.3,1315.9,6046.2,311.1,277.8,,151.9
Apr-02,33094.1,17139.4,274.5,6875,1940.3,6362.9,,351.1,132.4,18.6
May-02,28647.6,9485.3,1308.6,8190.7,1198.7,7857.2,,566.5,,40.9
Jun-02,25915.6,6420,611.3,7101.4,1269.3,9809.3,266.7,366.5,,71.3
Jul-02,29606.9,12183.7,,8350.7,3613.8,4935.3,,503.9,,19.6
Aug-02,41428.9,16193.6,,12279.9,3574.6,9159.3,,216.9,,4.9
