Row Labels,Count of TOTAL UNITS,Count of NETWORK TV UNITS,Count of SLN TV UNITS,Count of CABLE TV UNITS,Count of SYNDICATION UNITS,Count of MAGAZINES UNITS,Count of SUNDAY MAGS UNITS,Count of B-TO-B UNITS,Count of NATL NEWSP UNITS,Count of NETWORK RADIO UNITS
Jan-01,66,21,2,22,12,14,,34,2,
Feb-01,58,13,1,23,8,17,1,20,,
Mar-01,65,17,1,26,15,14,1,26,1,
Apr-01,51,18,1,25,10,14,3,17,1,
May-01,53,15,1,19,6,15,1,24,2,
Jun-01,44,10,1,23,5,10,2,16,,
Jul-01,59,17,1,28,7,11,1,26,,
Aug-01,58,18,1,24,11,22,,19,,
Sep-01,64,16,1,21,6,18,1,29,,
Oct-01,68,15,1,20,8,16,1,41,,
Nov-01,62,14,1,17,9,22,,29,,
Dec-01,40,13,2,16,3,8,1,14,,
Jan-02,78,25,3,29,12,19,,34,1,
Feb-02,57,23,2,37,10,10,,15,,
Mar-02,70,25,2,33,11,18,1,22,,
Apr-02,59,21,3,27,10,13,,25,1,
May-02,74,17,4,21,7,21,,36,,
Jun-02,57,16,3,24,7,14,1,25,,
Jul-02,70,21,,27,12,17,,31,,
Aug-02,56,20,,28,13,14,,20,,
Sep-02,86,26,1,37,10,24,3,32,,
Oct-02,68,18,1,26,7,23,1,27,,
Nov-02,73,21,,24,9,28,3,19,,
Dec-02,45,17,,24,7,14,,9,,
Jan-03,73,18,2,28,10,21,3,27,,
Feb-03,68,22,2,35,10,15,1,21,,
Mar-03,68,20,1,31,10,19,,20,,
Apr-03,61,15,,31,9,13,1,22,,
May-03,76,18,,26,9,24,2,28,1,
Jun-03,71,23,,29,12,18,5,25,1,
Jul-03,69,22,,28,7,22,1,22,1,
Aug-03,71,24,,32,10,24,1,18,3,
Sep-03,99,26,2,39,12,31,2,29,3,
Oct-03,83,21,2,32,10,25,1,29,,
Nov-03,69,13,2,28,6,24,,21,,
Dec-03,56,14,2,28,6,16,,18,,
Jan-04,73,29,3,33,13,21,1,18,2,
Feb-04,65,24,5,33,7,22,3,14,1,
Mar-04,91,29,6,40,9,25,1,26,3,
Apr-04,69,21,4,37,10,20,,19,2,
May-04,93,26,3,42,17,24,,30,2,
Jun-04,73,21,4,37,15,16,,25,,
Jul-04,71,17,3,35,8,14,2,26,,
Aug-04,78,19,3,39,12,19,2,27,1,
Sep-04,85,18,3,31,9,27,1,29,,
Oct-04,76,12,2,27,5,21,,29,1,
Nov-04,59,14,1,18,4,19,,20,,
Dec-04,56,16,1,22,4,15,,16,1,
Jan-05,72,19,1,29,8,21,,23,,
Feb-05,63,19,3,31,9,16,,17,1,
Mar-05,79,21,3,31,8,26,1,24,,
Apr-05,66,22,4,30,9,22,1,20,,
May-05,87,26,4,37,11,26,3,32,2,
Jun-05,71,21,4,33,11,20,,28,,
Jul-05,91,18,4,36,9,29,2,34,,
Aug-05,84,20,4,38,12,24,3,24,,
Sep-05,102,19,4,41,13,38,3,27,,
Oct-05,85,14,2,23,5,31,,31,,
Nov-05,66,9,2,17,6,29,2,24,,
Dec-05,57,6,2,21,5,21,,16,,
