IRI_KEY,WEEK,SY,GE,VEND,ITEM,UNITS,DOLLARS,F,D,PR
8029776,1322,0,5,74690,2325,2,1.83,NONE,0,1
8029776,1322,0,3,74690,2309,1,0.99,NONE,0,0
8029776,1322,0,2,74690,3722,2,5.98,NONE,0,0
8029776,1322,0,1,74690,2529,4,3.96,NONE,0,0
8029776,1322,0,2,74690,2367,2,1.98,NONE,0,0
8029776,1322,0,6,74690,2406,2,1.98,NONE,0,0
8029776,1322,0,1,28400,981,13,12.57,NONE,2,0
8029776,1322,0,1,28400,2843,7,10.5,B,2,1
8029776,1322,0,1,28400,3098,5,4.8,NONE,2,0
8029776,1322,0,3,28400,982,7,6.93,NONE,2,0
8029776,1322,0,1,28400,2844,6,8.97,B,2,1
8029776,1322,0,4,28400,988,2,1.98,NONE,0,0
8029776,1322,0,1,28400,2845,11,14.05,B,2,1
8029776,1322,0,1,28400,4058,4,3.51,NONE,2,1
8029776,1322,0,1,28400,2994,4,3.96,NONE,2,0
8029776,1322,0,2,28400,1041,6,5.94,NONE,2,0
8029776,1322,0,1,28400,2850,3,4.5,A,0,1
8029776,1322,0,1,37000,43985,5,6.65,A+,0,1
8029776,1322,0,1,37000,42452,2,1.98,NONE,0,0
8029776,1322,0,1,37000,37705,14,17.45,A+,0,1
8029776,1322,0,1,37000,37712,4,5.08,A+,0,1
8029776,1322,0,1,37000,37716,2,1.89,A+,0,1
8029776,1322,0,1,37000,42453,1,0.99,NONE,0,0
8029776,1322,0,1,37000,37717,8,8.53,A+,0,1
8029776,1322,0,1,37000,37706,4,4.68,A+,0,1
8029776,1322,0,1,37000,37718,7,8.67,A+,0,1
8029776,1322,0,1,37000,44621,2,1.98,NONE,0,0
8029776,1322,0,1,37000,37708,7,7.29,A+,0,1
8029776,1322,0,1,37000,31184,1,2.29,NONE,0,0
8029776,1322,0,1,37000,37724,4,4.79,NONE,0,0
8029776,1322,0,4,41200,1702,1,0.84,NONE,0,1
8029776,1322,6,1,14156,6064,2,1.18,NONE,0,1
8029776,1322,0,2,74690,6033,2,6.58,NONE,0,0
8029776,1322,0,2,74690,6017,2,6.58,NONE,0,0
8029776,1322,0,1,28400,4252,4,3.81,NONE,0,0
8029776,1322,0,1,28400,3337,1,3.29,NONE,2,0
8029776,1322,0,2,28400,2869,6,5.64,NONE,2,0
8029776,1322,0,1,28400,3351,2,1.98,NONE,0,0
8029776,1322,0,1,28400,3338,6,19.74,NONE,2,0
8029776,1322,0,1,28400,2875,8,7.77,NONE,2,0
8029776,1322,0,1,28400,2877,3,2.97,NONE,2,0
8029776,1322,0,1,37000,35128,4,3.23,A+,0,1
8029776,1322,0,1,37000,40440,2,2.07,A+,0,1
8029776,1322,0,4,41419,6171,1,2.19,NONE,0,0
8029776,1322,0,2,74690,7197,2,4.58,NONE,0,0
8029776,1322,0,3,28400,1477,1,2.19,NONE,0,1
8029776,1322,6,1,14156,6066,2,1.38,NONE,0,0
8029776,1322,0,1,28400,2879,12,11.88,NONE,0,0
8029776,1322,0,1,28400,2880,22,21.78,NONE,0,0
8029776,1322,0,2,41200,901,1,0.99,NONE,0,0
8029776,1322,0,1,41200,1308,5,4.95,NONE,0,0
8029776,1322,0,1,41200,1519,3,2.97,NONE,0,0
8029776,1322,0,3,74690,5157,1,1.89,NONE,0,0
8029776,1322,0,1,74690,5173,1,1.89,NONE,0,0
8029776,1322,0,4,41200,801,6,5.94,NONE,0,0
8029776,1322,0,1,41200,815,4,3.96,NONE,0,0
8029776,1322,7,2,54918,8231,2,1.98,NONE,0,0
8029776,1322,7,1,54918,8102,2,6,NONE,0,0
8029776,1322,7,1,54918,8766,1,3.49,NONE,0,0
8029776,1322,0,3,28400,3832,3,2.97,NONE,2,0
8029776,1322,0,1,28400,3833,3,2.82,NONE,2,0
8029776,1322,0,1,28400,3837,6,5.64,NONE,0,0
8029776,1322,0,1,28400,3831,4,3.81,NONE,2,0
8029776,1322,0,2,24622,51189,4,3.96,NONE,0,1
8029776,1322,0,2,24622,51196,4,9.56,NONE,0,0
8029776,1322,0,1,24622,51195,4,9.56,NONE,0,0
