from/to,ES,LS,RX,A8,A6,3series,5series,7series,XJ,Sclass
ES,0,2,2,3,1.666666667,6,5,2.8,1,2.615384615
LS,1.17,0,1.285714286,2.837837838,1.285714286,4,3.1,2.75,2.888888889,2.677419355
RX,1.67,3.4,0,1,0,4,0,1,0,2.5
A8,3.4,2.857142857,2.2,0,3.166666667,5,5,3,2.142857143,2.0625
A6,6,3.333333333,3.666666667,1.375,0,5,5,5,0,2.333333333
3series,3.25,2.8,4,3.25,3,0,0,2,3,3.333333333
5series,4,2.7,3.6,3.333333333,3,0,0,1,2,2
7series,3.6,2.642857143,3.75,2.181818182,0,5,2.333333333,0,3.166666667,2.4375
XJ,1,2.75,2,2,1,0,0,3.666666667,0,2.285714286
Sclass,3.285714286,2.554054054,3.636363636,2.5,2,4.333333333,3,3.111111111,1.666666667,0
