Date,Tweet,User Handle,In Reply To,Follower,Following,Listed,Retweet
1/29/2016 23:59,"RT @Panthers: Always With Us. #TEAM #SB50 #KeepPounding https://t.co/fCUwhaJSZL",chanchanmans,,167,137,1,861
1/29/2016 23:59,The #SuperBowl crew paints both end zones for the #Broncos.  #Omen? #SuperBowl50 #CARvsDEN #DENvsCAR https://t.co/POqVIY3CaT via @cbssports,PatGeraghtyinIA,,4,8,2,0
1/29/2016 23:59,"RT @LevisStadium: Alright @Panthers. Your end zone is up next.Tune in for the final product. #KeepPounding #SB50 https://t.co/fpsxCTF5Kh",3timeallstar99,,191,446,18,65
1/29/2016 23:59,"RT @Panthers: Ready For Battle. #SB50 #KeepPounding https://t.co/wksy9aMWZ7",jessicavoncanno,,1191,582,2,1574
1/29/2016 23:59,RT @SapphireLV: #SuperBowl50 with @therealgianna at @SapphireLV - Tickets: https://t.co/AAOFfL28HF 702.637.0790 #superbowl2016 https://t.coâ€_,VEGASandTONIC,,1635,244,260,18
1/29/2016 23:59,RT @CalFootball: Worth your 3 min. Tough not to feel great about @cjandersonb22 https://t.co/ymCAxFgdr1 #CalInTheNFL #SB50 https://t.co/Bhsâ€_,slamdunk406,,821,1455,17,18
1/29/2016 23:59,"RT @PanthersCR: California Dreaming? 2 tickets to #SuperBowl50 are up on the #KeepPounding Auction!Bid Here&gt;https://t.co/cjNSK0HPoZ https:â€_",Fiercely_,,5222,4139,133,74
1/29/2016 23:59,Just got the pre-Super Bowl haircut. Feels like I'm one step closer... #SB50,NathanConley,,5894,2347,99,0
1/29/2016 23:59,Who will win Super Bowl 50? _Ÿèˆ #SuperBowl #SuperBowl50,Juliann_Collins,,58,103,1,0
1/29/2016 23:59,RT mikepersinger: Thomas Davis in #SB50 with broken arm just latest NFL player to push envelope. kgarloch https://t.co/f5ijlcgtT7 â€_,ExploreTheMill,,5020,240,90,0
1/29/2016 23:59,RT mikepersinger: Some longtime Panthers PSL owners peeved about lack of #SB50 tickets. katieperalta: https://t.co/Ii3H12qO3r â€_,ExploreTheMill,,5020,240,90,0
1/29/2016 23:59,"RT mikepersinger: Forget #SB50, who's the endorsement king between Cam Newton, Peyton Manning? https://t.co/OeJxawO5AE â€_",ExploreTheMill,,5020,240,90,0
1/29/2016 23:59,@readfearn We're raising the bar for national sport events. #SB50 fans can pledge for a #NetPositive game. https://t.co/nqlOMVjy4i,TerraPass,readfearn,1901,1477,169,0
1/29/2016 23:59,"RT @Beating_TheOdds: Who will win #SuperBowl50 ?RT - Carolina PanthersFAV - Denver Broncos https://t.co/MRfiEm9D6w",tbypta_g,,91,308,2,551
1/29/2016 23:59,I expect a Repeat of SuperBowl 48 with the Denver Broncos getting steamrolled by the Carolina Panthers #SB50,justinhazard,,730,696,5,0
1/29/2016 23:59,"RT @NFLHSPD: Congrats to #NFLHSPDAlumni @CameronNewton @kelvinbenjamin &amp; the @Panthers on their #NFC Title &amp; #SB50 bid, #salute! https://t.â€_",FDPlayBook,,33916,5489,107,5
1/29/2016 23:59,#charlotte#nc#Tv time #PanthersPride @Panthers @CameronNewton https://t.co/MrVsDYKJJG,HugoHmorale1,,36,163,0,0
1/29/2016 23:59,RT @MetroDenverEDC: It's a sign! #Broncos painted on both end zones accidentally https://t.co/wBMkEvT1b3 via @9News #SB50 https://t.co/WwVzâ€_,LakewoodEconDev,,325,294,10,2
1/29/2016 23:59,RT @abc7newsBayArea: WATCH LIVE: Another storm moves into the Bay Area. The affect it could have on #SB50 festivities on ABC7 at 4PM: httpsâ€_,desireecherisse,,584,335,56,5
1/29/2016 23:59,@jensablan808 sorry #Panthers #SuperBowl50,MoanaHelii,jensablan808,97,198,6,0
1/29/2016 23:59,@dana1981 A score for #sustainability!  Football fans can help create the 1st ever #NetPositive #SB50.https://t.co/nqlOMVjy4i,TerraPass,dana1981,1901,1477,169,0
1/29/2016 23:59,RT @JayRushQC: LISTEN: @AlexTanney discusses his passing camp and #SuperBowl50! https://t.co/7VK74Qa7ru,TanneyPassing,,9589,2505,2,1
1/29/2016 23:59,RT @ColdplayAtlas: VIDEO: Pepsi release a new BTS clip of Coldplay preparing for their #SB50 Halftime show https://t.co/eFDdTOvT4M https://â€_,Luzzaaaa,,110,128,1,66
1/29/2016 23:59,RT @ToddFuhrman: Counter limits for #SB50 at @StationCasinos https://t.co/Iq5W7qKstk,stimpy21,,66,134,1,8
1/29/2016 23:59,"RT @nflnetwork: Key to a @Panthers #SB50 win?Getting this guy â¬‡ going.https://t.co/mrw04JpQsA https://t.co/XJV4Z4j5Hv",Marioruiz_64,,246,360,0,46
